act,sid,start,end,dur,narration,on_screen_text,screen_direction,camera_note,designer_wanted,now_is,plate_file,narration_from_audio
ACT3-8,A7-02,6:54.96,6:55.32,0.36,첫째.,,,"도착 — 첫 구획만 0.8% micro-push, 둘째·셋째는 가림 유지",생성영상,정지+카메라,ACT3-8_350s/23_S23_x14cuts.png,첫째.
ACT3-8,A7-03,6:55.32,6:59.50,4.18,기억나는 프로젝트 3개를 적고 반복한 행동에 밑줄을 긋습니다.,,,관통 — 정확히 3개 프로젝트 회색 바를 지나 반복 행동 밑줄 위치까지 이동,생성영상,정지+카메라,ACT3-8_350s/23_S23_x14cuts.png,기억나는 프로젝트 3개를 적고 반복한 행동에 밑줄을 긋습니다.
ACT3-8,A7-04,6:59.50,6:59.86,0.36,둘째.,,,도착 — 둘째 구획만 공개하고 micro-push,생성영상,정지+카메라,ACT3-8_350s/23_S23_x14cuts.png,둘째.
ACT3-8,A7-05,6:59.86,7:03.60,3.74,꾸준히 기여할 수 있었던 일하는 방식을 한 문장으로 씁니다.,,,관통 — 일하는 방식의 회색 바들이 한 문장 길이 바 하나로 정렬되는 경로,생성영상,정지+카메라,ACT3-8_350s/23_S23_x14cuts.png,꾸준히 기여할 수 있었던 일하는 방식을 한 문장으로 씁니다.
ACT3-8,A7-06,7:03.60,7:03.90,0.3,셋째.,,,도착 — 셋째 구획을 최초 공개하고 micro-push,생성영상,정지+카메라,ACT3-8_350s/23_S23_x14cuts.png,셋째.
ACT3-8,A7-07,7:03.90,7:07.58,3.68,그 일을 통해 사람이나 일이 어떻게 달라졌는지 적습니다.,,,관통 — 이전 상태→행동→이후 변화의 3회색 바를 말 순서대로 이동,생성영상,정지+카메라,ACT3-8_350s/23_S23_x14cuts.png,그 일을 통해 사람이나 일이 어떻게 달라졌는지 적습니다.
ACT3-8,A7-08,7:07.58,7:11.94,4.36,세 문장이 완성되면 관심 있는 채용 공고 하나를 옆에 놓아보세요.,,,도착 — 완성된 3구획 종이 옆에 실제 채용 공고 한 장이 놓이는 whole에 안착,생성영상,정지+카메라,ACT3-8_350s/23_S23_x14cuts.png,세 문장이 완성되면 관심 있는 채용 공고 하나를 옆에 놓아보세요.
ACT3-8,A7-09,7:11.94,7:16.68,4.74,공고에 주도적으로 일한다고 쓰여 있어도 곧바로 나와 맞는다고 판단하지 않습니다.,,,관통 — 공고의 ‘주도’ 추상 바→기준 종이 사이를 지나되 합치지 않고 질문 여백에 정지,생성영상,정지+카메라,ACT3-8_350s/23_S23_x14cuts.png,공고에 주도적으로 일한다고 쓰여 있어도 곧바로 나와 맞는다고 판단하지 않습니다.
ACT3-8,A7-10,7:16.68,7:22.08,5.4,"목표는 누가 정하는지, 실행 방식은 어디까지 제안할 수 있는지 면접 질문으로 바꿉니다.",,,관통 — 목표 결정/실행 제안의 두 실제 질문 칸을 차례로 통과,생성영상,정지+카메라,ACT3-8_350s/23_S23_x14cuts.png,"목표는 누가 정하는지, 실행 방식은 어디까지 제안할 수 있는지 면접 질문으로 바꿉니다."
ACT3-8,A7-11,7:22.08,7:26.86,4.78,기준은 답을 대신하는 문장이 아니라 선택지를 구체적으로 보는 질문입니다.,,,후퇴 — 기준·공고·질문 3종 실물을 함께 보이며 4% pull-back,생성영상,정지+카메라,ACT3-8_350s/23_S23_x14cuts.png,기준은 답을 대신하는 문장이 아니라 선택지를 구체적으로 보는 질문입니다.
ACT3-8,A7-12,7:26.86,7:29.16,2.3,오늘은 초안이면 충분합니다.,,,도착 — 연필 수정 가능한 초안 한 장에 안착,생성영상,정지+카메라,ACT3-8_350s/23_S23_x14cuts.png,오늘은 초안이면 충분합니다.
ACT3-8,A7-13,7:29.16,7:33.40,4.24,문장이 매끄럽지 않거나 세 칸을 모두 채우지 못해도 괜찮습니다.,,,후퇴 — 비어 있는 칸도 그대로 포함해 종이 전체를 보이는 3% pull-back,생성영상,정지+카메라,ACT3-8_350s/23_S23_x14cuts.png,문장이 매끄럽지 않거나 세 칸을 모두 채우지 못해도 괜찮습니다.
ACT3-8,A7-14,7:33.40,7:38.30,4.9,장면 하나와 단어 하나부터 적고 실제 선택지에 대입하며 고쳐가면 됩니다.,,,관통 — 장면 사진 한 장→단어 회색 바 하나→실제 선택지 공고로 순차 이동,생성영상,정지+카메라,ACT3-8_350s/23_S23_x14cuts.png,장면 하나와 단어 하나부터 적고 실제 선택지에 대입하며 고쳐가면 됩니다.
ACT3-8,A7-15,7:38.30,7:41.96,3.66,이 기록이 리포트에서 어떻게 이어지는지도 볼 수 있습니다.,,,후퇴 — 세 회색 바가 아이보리 한 장 실루엣으로 정렬되고 7mm 청록 스파인·골드 이중 프레임이 나타나는 4% pull-back,정지+카메라,정지+카메라,report_pages/24_S24_x2cuts.png,이 기록이 리포트에서 어떻게 이어지는지도 볼 수 있습니다.
ACT3-8,A8-01,7:41.96,7:46.54,4.58,3쪽 한눈에 보는 나에서는 발견한 기준을 한 화면에서 살펴봅니다.,,,도착 — 실제 리포트 3쪽 whole에 pixel-safe 1.5% push; 좌측 7mm 스파인·골드 프레임·러닝헤드·folio 보존,정지+카메라,정지+카메라,report_pages/24_S24_x2cuts.png,3쪽 한눈에 보는 나에서는 발견한 기준을 한 화면에서 살펴봅니다.
ACT3-8,A8-02,7:46.54,7:51.96,5.42,5쪽 실행 프로파일에서는 기준이 일하는 방식과 행동으로 이어지는 흐름을 확인합니다.,,,"도착 — 실제 리포트 5쪽 whole로 의도된 컷 후 1.5% push, 실행 흐름 영역을 프레임 중앙에 유지",정지+카메라,정지+카메라,report_pages/25_S25_x1cuts.png,5쪽 실행 프로파일에서는 기준이 일하는 방식과 행동으로 이어지는 흐름을 확인합니다.
ACT3-8,A8-03,7:51.96,7:57.50,5.54,8쪽 활용 예시 및 다음 단계에서는 실제 선택과 질문에 적용하는 흐름을 봅니다.,,,"도착 — 실제 리포트 8쪽 whole로 의도된 컷 후 1.5% push, 활용 예시·다음 단계 영역 보존",정지+카메라,정지+카메라,report_pages/26_S26_x1cuts.png,8쪽 활용 예시 및 다음 단계에서는 실제 선택과 질문에 적용하는 흐름을 봅니다.
ACT3-8,A8-04,7:57.50,8:05.06,7.56,"세 문장이 한 장의 결과물로 연결되는 모습이 궁금하다면, 설명란의 실제 발급본 I장 미리보기를 확인해 보세요.",,,후퇴 — 3·5·8쪽 실제 지면과 I장 미리보기가 한 결과물 묶음으로 보이도록 3% pull-back,정지+카메라,정지+카메라,ACT3-8_350s/27_S27_x4cuts.png,"세 문장이 한 장의 결과물로 연결되는 모습이 궁금하다면, 설명란의 실제 발급본 I장 미리보기를 확인해 보세요."
ACT3-8,A8-05,8:05.06,8:08.98,3.92,답을 새로 만들기보다 이미 살아온 삶에서 다음 방향을 발견해 보세요.,,,후퇴 — 아이보리 지면 묶음에서 책상·사무실 단면 whole까지 4% pull-back,정지+카메라,정지+카메라,ACT3-8_350s/27_S27_x4cuts.png,답을 새로 만들기보다 이미 살아온 삶에서 다음 방향을 발견해 보세요.
ACT3-8,A8-GAP,8:08.98,8:19.80,10.82,,,,"정지 — 직전 whole을 유지하며 총 1.0% 이하의 매우 느린 pull-back, 새 정보·새 페이지 0",정지+카메라,정지+카메라,ACT3-8_350s/27_S27_x4cuts.png,
ACT3-8,A8-UNCERTAIN,8:19.80,8:20.00,0.2,다음,,,"정지 — 파일 끝 프레임 유지, 추가 텍스트·CTA·동작 없음",정지+카메라,정지+카메라,ACT3-8_350s/27_S27_x4cuts.png,다음
